sample_id,source_dataset,original_path,destination_path,original_class,nivara_class,split,width,height,channels,file_size,sha256,duplicate_group,license_source,exclusion_reason
1,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\trash\trash10.jpg,train\garbage_waste\garbage_waste_000001.jpg,trash,garbage_waste,train,512,384,3,11752,5f1ee42f525810222f5afc0afa6393f9184db463b2e2414df428f9321639a028,,License verification required — obtained from Kaggle; check original dataset license,
12,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass26.jpg,train\garbage_waste\garbage_waste_000012.jpg,glass,garbage_waste,train,512,384,3,15256,d817076b3146b09fccaef94569900837a6f6c8c0524fd6d443f6234fc7e2897a,,License verification required — obtained from Kaggle; check original dataset license,
13,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass295.jpg,train\garbage_waste\garbage_waste_000013.jpg,glass,garbage_waste,train,512,384,3,14335,6ee935357eff0892280896c41d8f0dac64c415a0194e28c2e224dd28deeb176e,,License verification required — obtained from Kaggle; check original dataset license,
14,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass458.jpg,train\garbage_waste\garbage_waste_000014.jpg,glass,garbage_waste,train,512,384,3,14239,4464510c31bd81e7cf43cfa7e5ac1ba0ac03a462c44bd39925b36b723f3af415,,License verification required — obtained from Kaggle; check original dataset license,
15,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic318.jpg,train\garbage_waste\garbage_waste_000015.jpg,plastic,garbage_waste,train,512,384,3,20533,67d1ac306a493d7d032f66089a2f544ae6908a2a1c6343dcf798927059cd55b8,,License verification required — obtained from Kaggle; check original dataset license,
16,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic300.jpg,train\garbage_waste\garbage_waste_000016.jpg,plastic,garbage_waste,train,512,384,3,7884,b3b078bd4f10cc51f22f60357c7210be7c4dd6e151ac8202a1db9c6a3a52f990,,License verification required — obtained from Kaggle; check original dataset license,
17,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard40.jpg,train\garbage_waste\garbage_waste_000017.jpg,cardboard,garbage_waste,train,512,384,3,22568,8b0231fdc23671c896a016a56fb0b549c2add9e85771dcb647e18af23e1c6223,,License verification required — obtained from Kaggle; check original dataset license,
18,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\trash\trash1.jpg,train\garbage_waste\garbage_waste_000018.jpg,trash,garbage_waste,train,512,384,3,16718,befe03db44ad0923b3f88239c071084950190e54381dc51679007917cfd315fa,,License verification required — obtained from Kaggle; check original dataset license,
19,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper354.jpg,train\garbage_waste\garbage_waste_000019.jpg,paper,garbage_waste,train,512,384,3,10869,060686c8212b009e41d21712e8d132d4e5a0a0eacf07bee5d81095c63f384164,,License verification required — obtained from Kaggle; check original dataset license,
20,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper38.jpg,train\garbage_waste\garbage_waste_000020.jpg,paper,garbage_waste,train,512,384,3,16747,56b0fcd0b4e95542eea46247694fd7ea32d4ad863dc0cc4d4c4e588ffe49db59,,License verification required — obtained from Kaggle; check original dataset license,
21,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper351.jpg,train\garbage_waste\garbage_waste_000021.jpg,paper,garbage_waste,train,512,384,3,44334,99630d53913d646b55b1b1f227789b1ff166d337df1cf12aa87ec70cb0b12ffd,,License verification required — obtained from Kaggle; check original dataset license,
22,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass38.jpg,train\garbage_waste\garbage_waste_000022.jpg,glass,garbage_waste,train,512,384,3,14342,bfe2023cc276c1c11ff28bf96b4bf94f1026611fee0474c50a3c8df20daa9c9f,,License verification required — obtained from Kaggle; check original dataset license,
23,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper146.jpg,train\garbage_waste\garbage_waste_000023.jpg,paper,garbage_waste,train,512,384,3,11378,68e1468232bcbdaea5e1617d25644f2676177c8577c29af896c2b9fdb417fed8,,License verification required — obtained from Kaggle; check original dataset license,
24,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard370.jpg,train\garbage_waste\garbage_waste_000024.jpg,cardboard,garbage_waste,train,512,384,3,19844,9d751726e7b3a86c8c27e03984a3d10caf63df1e1479e5cc31bfb7b620b59273,,License verification required — obtained from Kaggle; check original dataset license,
25,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass168.jpg,train\garbage_waste\garbage_waste_000025.jpg,glass,garbage_waste,train,512,384,3,13508,bd31e2440417fd22ed539ff5164b80269d163ffff1b48a2c99df3e4aed9bf52e,,License verification required — obtained from Kaggle; check original dataset license,
26,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic70.jpg,train\garbage_waste\garbage_waste_000026.jpg,plastic,garbage_waste,train,512,384,3,14979,43e494e51a912320499ec75c5b73769668f094dc5982a13ea6dfafa50033ff8e,,License verification required — obtained from Kaggle; check original dataset license,
27,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal46.jpg,train\garbage_waste\garbage_waste_000027.jpg,metal,garbage_waste,train,512,384,3,40890,0fd71c2e973de5faf29906659e41c111a8cb023f6dade971af1a2fc972ba0004,,License verification required — obtained from Kaggle; check original dataset license,
28,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal43.jpg,train\garbage_waste\garbage_waste_000028.jpg,metal,garbage_waste,train,512,384,3,19852,b814327dc68678291d5a7575972476cd34c22ee1dd692b8928d007433ca41a26,,License verification required — obtained from Kaggle; check original dataset license,
29,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard189.jpg,train\garbage_waste\garbage_waste_000029.jpg,cardboard,garbage_waste,train,512,384,3,17985,bcccb2b46dbd0b8027dff07ff120d9a3a27e5ddf8128de027af8f681c7f79211,,License verification required — obtained from Kaggle; check original dataset license,
30,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper556.jpg,train\garbage_waste\garbage_waste_000030.jpg,paper,garbage_waste,train,512,384,3,16122,54783d495508ba31e4fcee64a4f08802402fb9af78a57cc2727985964d7ec338,,License verification required — obtained from Kaggle; check original dataset license,
31,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard66.jpg,train\garbage_waste\garbage_waste_000031.jpg,cardboard,garbage_waste,train,512,384,3,26149,6d37c5a6a8d98db663efd00ec2e1d000d3f5dd31d9701e6377d49de87c37fb73,,License verification required — obtained from Kaggle; check original dataset license,
32,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal6.jpg,train\garbage_waste\garbage_waste_000032.jpg,metal,garbage_waste,train,512,384,3,6369,37091e78c6dcb2b65011ff77534e0c24008c8ec6f6cdec4252e2b94ddcbbc64b,,License verification required — obtained from Kaggle; check original dataset license,
33,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal385.jpg,train\garbage_waste\garbage_waste_000033.jpg,metal,garbage_waste,train,512,384,3,14796,a7df0104bb93ac924ae1117df3ba3efde224cba388a060dc7846977e69bf5241,,License verification required — obtained from Kaggle; check original dataset license,
34,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal81.jpg,train\garbage_waste\garbage_waste_000034.jpg,metal,garbage_waste,train,512,384,3,12657,07d65036157aa88ae26a72341a2f6a2af41af43729bca6f3d88b994e6d66c693,,License verification required — obtained from Kaggle; check original dataset license,
35,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard166.jpg,train\garbage_waste\garbage_waste_000035.jpg,cardboard,garbage_waste,train,512,384,3,27876,1a6498eb76db159d786146ea850b90b628d4dce34144e856863f804194ee6347,,License verification required — obtained from Kaggle; check original dataset license,
36,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal330.jpg,train\garbage_waste\garbage_waste_000036.jpg,metal,garbage_waste,train,512,384,3,24738,9800b5cc2d5b37161c86e3f1878f21f8119c3f0fe4d82b097ba5113777dde502,,License verification required — obtained from Kaggle; check original dataset license,
37,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal4.jpg,train\garbage_waste\garbage_waste_000037.jpg,metal,garbage_waste,train,512,384,3,7606,89973ff7d5c5d42652431b11bf86c73c7dab04fcf49f7742d6f54d65984445be,,License verification required — obtained from Kaggle; check original dataset license,
38,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal379.jpg,train\garbage_waste\garbage_waste_000038.jpg,metal,garbage_waste,train,512,384,3,10275,bfb1f39a72cebe2ba64ce22ad6f3cc0068daea6559745de2468466c22a3bf639,,License verification required — obtained from Kaggle; check original dataset license,
39,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass55.jpg,train\garbage_waste\garbage_waste_000039.jpg,glass,garbage_waste,train,512,384,3,8231,490f8ed0f65caaefe89c5da34064b3e4f53a29fe6a5cd1d062684c96d4e5efcd,,License verification required — obtained from Kaggle; check original dataset license,
40,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper512.jpg,train\garbage_waste\garbage_waste_000040.jpg,paper,garbage_waste,train,512,384,3,34186,8389eea3660c3bfcf6dac97bb4a4c0f39d2d1157a6c3d2769cf6f3bf3dd0e8f9,,License verification required — obtained from Kaggle; check original dataset license,
41,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\trash\trash126.jpg,train\garbage_waste\garbage_waste_000041.jpg,trash,garbage_waste,train,512,384,3,7562,d47245d73413fc38cc2e7afb16af6e0ec32afa9ea1d9707c644a1606aae7d4ed,,License verification required — obtained from Kaggle; check original dataset license,
42,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass4.jpg,train\garbage_waste\garbage_waste_000042.jpg,glass,garbage_waste,train,512,384,3,9164,b8a2a77180d65ecb054431b2febdb5c20e5fcf5a823418c1835f2c2fc34974d7,,License verification required — obtained from Kaggle; check original dataset license,
43,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic106.jpg,train\garbage_waste\garbage_waste_000043.jpg,plastic,garbage_waste,train,512,384,3,17327,34b4d88c722b12483f73e1ff39947bd464e2ce8a0eaeb1e7c0971dea6bb3893c,,License verification required — obtained from Kaggle; check original dataset license,
44,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard181.jpg,train\garbage_waste\garbage_waste_000044.jpg,cardboard,garbage_waste,train,512,384,3,17021,4dead5453ee522cd3bf8dcdb0d1808cddb659dfdd00ec9014b5055f0fec088f0,,License verification required — obtained from Kaggle; check original dataset license,
45,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic78.jpg,train\garbage_waste\garbage_waste_000045.jpg,plastic,garbage_waste,train,512,384,3,8235,067d32a5afde16199cbe295b57d04bde2495c5f5f54c1053982d9ee706733af1,,License verification required — obtained from Kaggle; check original dataset license,
46,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal25.jpg,train\garbage_waste\garbage_waste_000046.jpg,metal,garbage_waste,train,512,384,3,21524,da5cefeb7ff32970800dbaf3a405ac871ada19c7ef33ced9aa3b1fdacc5f4b6d,,License verification required — obtained from Kaggle; check original dataset license,
47,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard101.jpg,train\garbage_waste\garbage_waste_000047.jpg,cardboard,garbage_waste,train,512,384,3,14289,2f3dafed35830c61c3464c876f7cfb82ad3b635078f6306bca02a03f8e90d00f,,License verification required — obtained from Kaggle; check original dataset license,
48,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal26.jpg,train\garbage_waste\garbage_waste_000048.jpg,metal,garbage_waste,train,512,384,3,17456,06c1dd04695d400b37ba96e1fb2455b6bd8dbb6e7f0cb5b9b6cc0ffc4b6eb32b,,License verification required — obtained from Kaggle; check original dataset license,
49,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic430.jpg,train\garbage_waste\garbage_waste_000049.jpg,plastic,garbage_waste,train,512,384,3,13497,1c639ba85cffc1704c6661df756984b81d362366b6190e42966b39018e2d4f61,,License verification required — obtained from Kaggle; check original dataset license,
50,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper498.jpg,train\garbage_waste\garbage_waste_000050.jpg,paper,garbage_waste,train,512,384,3,8986,5787607d53f73f8823a54e906c0205f7f871d3267d5689a5d903d9676e8d2a3b,,License verification required — obtained from Kaggle; check original dataset license,
51,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard26.jpg,train\garbage_waste\garbage_waste_000051.jpg,cardboard,garbage_waste,train,512,384,3,14095,9a5ca9e612f1a627a4cc86dc025aed499e9c7219bf184684058c021b3ecd7971,,License verification required — obtained from Kaggle; check original dataset license,
52,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper253.jpg,train\garbage_waste\garbage_waste_000052.jpg,paper,garbage_waste,train,512,384,3,16601,35110d355588aff72ce48cd838f1993a63b2f84c93f07724655b3a887b17cf50,,License verification required — obtained from Kaggle; check original dataset license,
53,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\trash\trash63.jpg,train\garbage_waste\garbage_waste_000053.jpg,trash,garbage_waste,train,512,384,3,16540,ecb6e1ed0dd5f7f862f61e9f9cb10b738458c706ab6c170055acb238e90611b3,,License verification required — obtained from Kaggle; check original dataset license,
54,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass170.jpg,train\garbage_waste\garbage_waste_000054.jpg,glass,garbage_waste,train,512,384,3,9648,4b1396d54ca62643c1a7a5ccf3bae8ba0e880551c13e3f61d391ba608bcfcee0,,License verification required — obtained from Kaggle; check original dataset license,
55,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic170.jpg,train\garbage_waste\garbage_waste_000055.jpg,plastic,garbage_waste,train,512,384,3,7796,1f4467071265642d3170c0336c19644f5f9b7b3944cfb5b5ad41f8771094e801,,License verification required — obtained from Kaggle; check original dataset license,
56,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard264.jpg,train\garbage_waste\garbage_waste_000056.jpg,cardboard,garbage_waste,train,512,384,3,22412,ccf7f4e88f3f8c986161937e52e741265572ca997555bacd2e5f0dd75508016a,,License verification required — obtained from Kaggle; check original dataset license,
57,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal267.jpg,train\garbage_waste\garbage_waste_000057.jpg,metal,garbage_waste,train,512,384,3,15426,7ba65e32f1182cc7dd453846174af33890867c9885e4d63fa10d00effd983209,,License verification required — obtained from Kaggle; check original dataset license,
58,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic209.jpg,train\garbage_waste\garbage_waste_000058.jpg,plastic,garbage_waste,train,512,384,3,14897,9d2cdabd68f4df9e76b989ff882f2fd0895a1b1d3633f01e479c52dc94db1161,,License verification required — obtained from Kaggle; check original dataset license,
59,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper440.jpg,train\garbage_waste\garbage_waste_000059.jpg,paper,garbage_waste,train,512,384,3,21259,09c9a789456404445c500cd5e50903e020456e25ffdf9aa5caa638440347cc5d,,License verification required — obtained from Kaggle; check original dataset license,
60,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal23.jpg,train\garbage_waste\garbage_waste_000060.jpg,metal,garbage_waste,train,512,384,3,20092,bc549a39af929be7ceedb628e751f7718feb93984b945cb5edb92feee238bfc5,,License verification required — obtained from Kaggle; check original dataset license,
61,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper231.jpg,train\garbage_waste\garbage_waste_000061.jpg,paper,garbage_waste,train,512,384,3,32978,8f7c78a2b3b24d2c20998f41ab7454011829fcc96970bf5aae106c7d66538d3a,,License verification required — obtained from Kaggle; check original dataset license,
62,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper128.jpg,train\garbage_waste\garbage_waste_000062.jpg,paper,garbage_waste,train,512,384,3,14097,85afe3c81506544f2e5961185dcdbd6adae491710db4eca3ab9280669a2cb0a8,,License verification required — obtained from Kaggle; check original dataset license,
63,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard1.jpg,train\garbage_waste\garbage_waste_000063.jpg,cardboard,garbage_waste,train,512,384,3,17333,9573fd98a5aca2ab9a4c5b9ebcdfa4dcf9719b216c2025ee4305c4df611c885f,,License verification required — obtained from Kaggle; check original dataset license,
64,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper284.jpg,train\garbage_waste\garbage_waste_000064.jpg,paper,garbage_waste,train,512,384,3,14859,08d8d85108c138824c66df05dce02dde50342d846881f4de81f4a64c8acd3391,,License verification required — obtained from Kaggle; check original dataset license,
65,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass272.jpg,train\garbage_waste\garbage_waste_000065.jpg,glass,garbage_waste,train,512,384,3,15618,72a6f345f436debbd0205b98aae1410f970e76f478625e706ee22645aec3c845,,License verification required — obtained from Kaggle; check original dataset license,
66,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper428.jpg,train\garbage_waste\garbage_waste_000066.jpg,paper,garbage_waste,train,512,384,3,9936,09e48f6be6e26e151c8fe44499a14c46d23e80d92a2478d990b14ff8d1be5fad,,License verification required — obtained from Kaggle; check original dataset license,
67,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper291.jpg,train\garbage_waste\garbage_waste_000067.jpg,paper,garbage_waste,train,512,384,3,25174,4047ea7e2f5dbfb3bef5606d105483ebc5e87ad824b83f61628d8a1d2c044829,,License verification required — obtained from Kaggle; check original dataset license,
68,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass248.jpg,train\garbage_waste\garbage_waste_000068.jpg,glass,garbage_waste,train,512,384,3,13825,7120850e2324b64b353b3160df7aecb846e08de901e2ab92ad6e2fca17cc743d,,License verification required — obtained from Kaggle; check original dataset license,
69,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic282.jpg,train\garbage_waste\garbage_waste_000069.jpg,plastic,garbage_waste,train,512,384,3,18009,0fd8314480e6b635f86ca6d27360b5bf5eb7a1a211b7216bfc5271164baf1801,,License verification required — obtained from Kaggle; check original dataset license,
70,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard295.jpg,train\garbage_waste\garbage_waste_000070.jpg,cardboard,garbage_waste,train,512,384,3,10241,41ee3fc020aa9b670f392a81dba3dd965cf2bd79762b61fdb508f5ab79e2d55e,,License verification required — obtained from Kaggle; check original dataset license,
71,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic50.jpg,train\garbage_waste\garbage_waste_000071.jpg,plastic,garbage_waste,train,512,384,3,20022,09e75e68f5b4514645b59e090f13b430d448b9ba03ea05a648a0ed83be35d4ec,,License verification required — obtained from Kaggle; check original dataset license,
72,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard205.jpg,train\garbage_waste\garbage_waste_000072.jpg,cardboard,garbage_waste,train,512,384,3,15248,cb18509203c2d290dfd7f7c89b371499e85eaaf6c1681dcb31c0548588c28429,,License verification required — obtained from Kaggle; check original dataset license,
73,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal47.jpg,train\garbage_waste\garbage_waste_000073.jpg,metal,garbage_waste,train,512,384,3,13220,44edfada36d51d2098507fb89d79f50e79df3ea8c2b122c18502ae782e0ca4f2,,License verification required — obtained from Kaggle; check original dataset license,
74,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\glass\glass207.jpg,train\garbage_waste\garbage_waste_000074.jpg,glass,garbage_waste,train,512,384,3,10126,330cd3c9cbae56f0567972c58b3d187bc3864f203ff06f6af3ca3bac4edb2318,,License verification required — obtained from Kaggle; check original dataset license,
75,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal253.jpg,train\garbage_waste\garbage_waste_000075.jpg,metal,garbage_waste,train,512,384,3,23563,0413e18095f291a9981eef27ef111f46bc08d420777b5866fc6293b36f80eed7,,License verification required — obtained from Kaggle; check original dataset license,
76,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper344.jpg,train\garbage_waste\garbage_waste_000076.jpg,paper,garbage_waste,train,512,384,3,17991,8ca08dad62783cf2514e949b92800e7dd56eb8955b833103eebbb342c2483633,,License verification required — obtained from Kaggle; check original dataset license,
77,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic392.jpg,train\garbage_waste\garbage_waste_000077.jpg,plastic,garbage_waste,train,512,384,3,14573,2d80cd1f9c21c9b56e5a20fa3b011128fb34b36782c3503404bfb0bec57432f7,,License verification required — obtained from Kaggle; check original dataset license,
78,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper1.jpg,train\garbage_waste\garbage_waste_000078.jpg,paper,garbage_waste,train,512,384,3,17487,25063c2320fd0fff4dc04317a7627418695c9970618a48073bb79cb3e542859c,,License verification required — obtained from Kaggle; check original dataset license,
79,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic277.jpg,train\garbage_waste\garbage_waste_000079.jpg,plastic,garbage_waste,train,512,384,3,12278,b70669928144a5f5b6f2c5c6740c134a87b8e11079fd90289f22833280439271,,License verification required — obtained from Kaggle; check original dataset license,
80,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\paper\paper393.jpg,train\garbage_waste\garbage_waste_000080.jpg,paper,garbage_waste,train,512,384,3,17828,c832ffd8b7d0591966abe5147ad53cb2ceb0b47ffd5cdaa4ae4a78df670ac0ce,,License verification required — obtained from Kaggle; check original dataset license,
81,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic343.jpg,train\garbage_waste\garbage_waste_000081.jpg,plastic,garbage_waste,train,512,384,3,18078,b210e88fda29ae9f02d7497eb3f7dd9d7dbc22e0acbc93226a020f17930b34a9,,License verification required — obtained from Kaggle; check original dataset license,
82,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\cardboard\cardboard344.jpg,train\garbage_waste\garbage_waste_000082.jpg,cardboard,garbage_waste,train,512,384,3,15772,29717507e973bbdd88947ef1e867f2ff29dfc65e15287cbecae1a9440c7b25a5,,License verification required — obtained from Kaggle; check original dataset license,
83,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal55.jpg,train\garbage_waste\garbage_waste_000083.jpg,metal,garbage_waste,train,512,384,3,27598,093bb7624598febe1376792108f31ea7039798e4e6e248148817a9999ef39bc1,,License verification required — obtained from Kaggle; check original dataset license,
84,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\plastic\plastic36.jpg,train\garbage_waste\garbage_waste_000084.jpg,plastic,garbage_waste,train,512,384,3,17892,45b4e36df6c6750a9d602c296afec5c54d044d0b045352030e2c72a2198890ca,,License verification required — obtained from Kaggle; check original dataset license,
85,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\trash\trash4.jpg,train\garbage_waste\garbage_waste_000085.jpg,trash,garbage_waste,train,512,384,3,12417,5c7c7bc798f6bdb768f82620a5549c0b73b0489adc2748afba47c39a350d84aa,,License verification required — obtained from Kaggle; check original dataset license,
86,garbage_classification,data\raw\garbage_classification\Garbage classification\Garbage classification\metal\metal119.jpg,train\garbage_waste\garbage_waste_000086.jpg,metal,garbage_waste,train,512,384,3,14551,fef949be03c4d314c3ff645a4a0f1a25edc95e5a228ad2e2ea9e8c798878447c,,License verification required — obtained from Kaggle; check original dataset license,
